label_index,label_ar,treatment,baseline,baseline_mean_f1,treatment_mean_f1,mean_f1_delta,contrast
0,ا,full_absolute_masked_mean,bend_only,0.477356004673478,0.5306013659836748,0.053245361310196804,full glove vs bend only
20,ق,full_absolute_masked_mean,bend_only,0.5294066390945388,0.5815241052432704,0.052117466148731584,full glove vs bend only
19,ف,full_absolute_masked_mean,bend_only,0.51692362218678,0.5665991026301448,0.04967548044336478,full glove vs bend only
22,ل,full_absolute_masked_mean,bend_only,0.5511938078309759,0.5910079950511964,0.039814187220220454,full glove vs bend only
15,ط,full_absolute_masked_mean,bend_only,0.34653860556604893,0.37178339106192454,0.02524478549587561,full glove vs bend only
18,غ,full_absolute_masked_mean,bend_only,0.7706464244747374,0.7902813299232737,0.0196349054485363,full glove vs bend only
14,ض,full_absolute_masked_mean,bend_only,0.48788649612906304,0.4748967522384115,-0.01298974389065155,full glove vs bend only
13,ص,full_absolute_masked_mean,bend_only,0.7357641879605703,0.7060769507371449,-0.029687237223425367,full glove vs bend only
2,ت,full_absolute_masked_mean,bend_only,0.6871094901267316,0.6247870622331364,-0.06232242789359521,full glove vs bend only
6,خ,full_absolute_masked_mean,bend_only,0.7929421768707483,0.716893001926509,-0.07604917494423935,full glove vs bend only
3,ث,full_absolute_masked_mean,bend_only,0.7913220636167256,0.6972315900904887,-0.0940904735262369,full glove vs bend only
16,ظ,full_absolute_masked_mean,bend_only,0.7001114827201783,0.5707996583218345,-0.12931182439834377,full glove vs bend only
9,ر,full_absolute_masked_mean,bend_only,0.7935686751876648,0.663253791943097,-0.13031488324456786,full glove vs bend only
1,ب,full_absolute_masked_mean,bend_only,0.7227661227661227,0.5603003003003003,-0.16246582246582242,full glove vs bend only
21,ك,full_relative_masked_mean,full_absolute_masked_mean,0.6021885521885522,0.7853052420216599,0.1831166898331077,relative vs absolute quaternion
18,غ,full_relative_masked_mean,full_absolute_masked_mean,0.7902813299232737,0.9090842490842491,0.1188029191609754,relative vs absolute quaternion
0,ا,full_relative_masked_mean,full_absolute_masked_mean,0.5306013659836748,0.6342878433042368,0.10368647732056202,relative vs absolute quaternion
6,خ,full_relative_masked_mean,full_absolute_masked_mean,0.716893001926509,0.8199855699855699,0.10309256805906097,relative vs absolute quaternion
3,ث,full_relative_masked_mean,full_absolute_masked_mean,0.6972315900904887,0.7839627674420094,0.0867311773515207,relative vs absolute quaternion
16,ظ,full_relative_masked_mean,full_absolute_masked_mean,0.5707996583218345,0.6481849277281254,0.07738526940629087,relative vs absolute quaternion
