config,fold,label_index,label_ar,precision,recall,f1,support
bend_spread,03,5,ح,0.5964912280701754,0.6938775510204082,0.6415094339622641,49
bend_spread,03,6,خ,0.8095238095238095,0.68,0.7391304347826086,50
bend_spread,03,7,د,0.7142857142857143,0.2,0.3125,50
bend_spread,03,8,ذ,0.4578313253012048,0.76,0.5714285714285714,50
bend_spread,03,9,ر,0.7258064516129032,0.9,0.8035714285714286,50
bend_spread,03,10,ز,0.3023255813953488,0.26,0.27956989247311825,50
bend_spread,03,11,س,1.0,0.3,0.46153846153846156,50
bend_spread,03,12,ش,1.0,0.3,0.46153846153846156,50
bend_spread,03,13,ص,0.7692307692307693,0.2,0.31746031746031744,50
bend_spread,03,14,ض,0.7543859649122807,0.86,0.8037383177570093,50
bend_spread,03,15,ط,0.34782608695652173,0.3137254901960784,0.32989690721649484,51
bend_spread,03,16,ظ,0.9166666666666666,0.22,0.3548387096774194,50
bend_spread,03,17,ع,0.2708333333333333,0.52,0.3561643835616438,50
bend_spread,03,18,غ,0.7592592592592593,0.82,0.7884615384615384,50
bend_spread,03,19,ف,0.3106796116504854,0.64,0.41830065359477125,50
bend_spread,03,20,ق,0.6666666666666666,1.0,0.8,50
bend_spread,03,21,ك,1.0,0.18,0.3050847457627119,50
bend_spread,03,22,ل,1.0,0.21568627450980393,0.3548387096774194,51
bend_spread,03,23,م,0.8360655737704918,1.0,0.9107142857142857,51
bend_spread,03,24,ن,0.38461538461538464,0.8,0.5194805194805194,50
bend_spread,03,25,ه,0.47959183673469385,0.94,0.6351351351351351,50
bend_spread,03,26,و,0.31746031746031744,0.4,0.35398230088495575,50
bend_spread,03,27,ي,0.9803921568627451,0.8333333333333334,0.9009009009009009,60
full_absolute_masked_mean,01,0,ا,1.0,0.38,0.5507246376811594,50
full_absolute_masked_mean,01,1,ب,0.9545454545454546,0.40384615384615385,0.5675675675675675,52
full_absolute_masked_mean,01,2,ت,0.6666666666666666,0.72,0.6923076923076923,50
full_absolute_masked_mean,01,3,ث,0.9230769230769231,0.48,0.631578947368421,50
full_absolute_masked_mean,01,4,ج,0.9318181818181818,0.82,0.8723404255319149,50
full_absolute_masked_mean,01,5,ح,0.75,0.54,0.627906976744186,50
full_absolute_masked_mean,01,6,خ,0.4351851851851852,0.94,0.5949367088607594,50
full_absolute_masked_mean,01,7,د,0.3728813559322034,0.44,0.4036697247706422,50
full_absolute_masked_mean,01,8,ذ,0.6,0.3,0.4,50
full_absolute_masked_mean,01,9,ر,0.9117647058823529,0.62,0.7380952380952381,50
full_absolute_masked_mean,01,10,ز,0.5555555555555556,0.1,0.1694915254237288,50
full_absolute_masked_mean,01,11,س,0.5147058823529411,0.7,0.5932203389830508,50
full_absolute_masked_mean,01,12,ش,0.5102040816326531,1.0,0.6756756756756757,50
full_absolute_masked_mean,01,13,ص,0.8490566037735849,0.9,0.8737864077669902,50
full_absolute_masked_mean,01,14,ض,0.09090909090909091,0.04,0.05555555555555555,50
full_absolute_masked_mean,01,15,ط,0.08888888888888889,0.08,0.08421052631578947,50
full_absolute_masked_mean,01,16,ظ,0.484375,0.62,0.543859649122807,50
full_absolute_masked_mean,01,17,ع,1.0,0.52,0.6842105263157895,50
full_absolute_masked_mean,01,18,غ,0.5769230769230769,0.6,0.5882352941176471,50
full_absolute_masked_mean,01,19,ف,0.4225352112676056,0.6,0.49586776859504134,50
full_absolute_masked_mean,01,20,ق,1.0,0.1,0.18181818181818182,50
full_absolute_masked_mean,01,21,ك,0.0,0.0,0.0,50
full_absolute_masked_mean,01,22,ل,0.4672897196261682,1.0,0.6369426751592356,50
full_absolute_masked_mean,01,23,م,0.8928571428571429,1.0,0.9433962264150944,50
full_absolute_masked_mean,01,24,ن,0.75,0.54,0.627906976744186,50
full_absolute_masked_mean,01,25,ه,0.35051546391752575,0.68,0.46258503401360546,50
full_absolute_masked_mean,01,26,و,1.0,0.8,0.8888888888888888,50
full_absolute_masked_mean,01,27,ي,0.48514851485148514,0.98,0.6490066225165563,50
full_absolute_masked_mean,02,0,ا,1.0,0.16,0.27586206896551724,50
full_absolute_masked_mean,02,1,ب,0.6,0.48,0.5333333333333333,50
full_absolute_masked_mean,02,2,ت,0.5555555555555556,0.8,0.6557377049180327,50
full_absolute_masked_mean,02,3,ث,0.8571428571428571,0.96,0.9056603773584906,50
full_absolute_masked_mean,02,4,ج,0.9615384615384616,0.9803921568627451,0.970873786407767,51
full_absolute_masked_mean,02,5,ح,0.8275862068965517,0.96,0.8888888888888888,50
full_absolute_masked_mean,02,6,خ,0.5942028985507246,0.82,0.6890756302521008,50
full_absolute_masked_mean,02,7,د,0.5211267605633803,0.74,0.6115702479338843,50
full_absolute_masked_mean,02,8,ذ,0.8928571428571429,1.0,0.9433962264150944,50
full_absolute_masked_mean,02,9,ر,0.9473684210526315,0.36,0.5217391304347826,50
full_absolute_masked_mean,02,10,ز,0.3877551020408163,0.38,0.3838383838383838,50
full_absolute_masked_mean,02,11,س,0.847457627118644,1.0,0.9174311926605505,50
